🕘️更新时间,#genre#
2026-04-13 06:57:24,https://iptv.catvod.com/live.php?id=CCTV1&line=11

📺央视频道,#genre#
CCTV-11,http://114.254.95.53:8888/rtp/239.3.1.152:8120
CCTV-11,http://171.8.168.199:8800/rtp/239.16.20.11:10110
CCTV-11,http://124.114.101.175:6789/rtp/239.112.205.213:5140
CCTV-11,http://220.176.218.165:9000/udp/239.252.219.78:5140
CCTV-11,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV11
CCTV-11,http://119.91.7.169:2026/dszb/IPTV.php?id=CCTV11
CCTV-12,https://iptv.catvod.com/live.php?id=CCTV12&line=6
CCTV-12,https://iptv.catvod.com/live.php?id=CCTV12&line=8
CCTV-12,http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009
CCTV-12,http://154.37.212.176/ysp.php?pid=600001807&id=2027248801
CCTV-12,http://114.254.95.53:8888/rtp/239.3.1.64:8124
CCTV-12,http://123.118.56.249:8686/rtp/239.3.1.64:8124
CCTV-12,http://124.112.240.249:4022/rtp/238.1.78.242:7808
CCTV-12,http://220.176.218.165:9000/udp/239.252.220.187:5140
CCTV-12,http://124.114.101.175:6789/rtp/239.112.205.88:5140
CCTV-12,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV12
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=15
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=14
CCTV-13,http://154.37.212.176/ysp.php?pid=600001811&id=2029797201
CCTV-13,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009
CCTV-13,http://114.254.95.53:8888/rtp/239.3.1.124:8128
CCTV-13,http://123.118.56.249:8686/rtp/239.3.1.124:8128
CCTV-13,http://106.116.126.206:4022/rtp/239.254.200.9:8264
CCTV-13,http://220.176.218.165:9000/udp/239.252.219.139:5140
CCTV-13,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV13
CCTV-13,http://119.91.7.169:2026/dszb/IPTV.php?id=CCTV13
CCTV-14,http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009
CCTV-14,http://154.37.212.176/ysp.php?pid=600001809&id=2027248901
CCTV-14,http://106.87.49.200:8888/rtp/235.254.198.61:1520
CCTV-14,http://114.254.95.53:8888/rtp/239.3.1.65:8132
CCTV-14,http://123.118.56.249:8686/rtp/239.3.1.65:8132
CCTV-14,http://39.77.157.57:4002/rtp/239.253.254.236:8000
CCTV-14,http://114.226.212.171:8787/rtp/239.49.8.136:6000
CCTV-14,http://106.116.126.206:4022/rtp/239.254.200.162:6000
CCTV-14,http://114.226.212.171:8787/rtp/239.49.8.56:9826
CCTV-14,http://220.176.218.165:9000/udp/239.252.220.92:5140
CCTV-15,http://38.75.136.137:98/gslb/dsdqbv/cctv15hd.m3u8?auth=test20251009
CCTV-15,http://154.37.212.176/ysp.php?pid=600001815&id=2027249001
CCTV-15,http://39.77.157.57:4002/rtp/239.253.254.170:8000
CCTV-15,http://144.255.16.170:6688/udp/239.21.2.4:5002
CCTV-15,http://39.77.162.237:4002/rtp/239.253.254.170:8000
CCTV-15,http://114.254.95.53:8888/rtp/239.3.1.153:8136
CCTV-15,http://39.77.26.138:4002/rtp/239.253.254.170:8000
CCTV-15,http://111.196.131.68:20000/rtp/239.3.1.153:8136
CCTV-15,http://115.171.80.124:1688/rtp/225.1.8.74:8136
CCTV-15,http://124.114.101.175:6789/rtp/239.112.205.214:5140
CCTV-16,https://iptv.catvod.com/live.php?id=CCTV16&line=2
CCTV-16,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009
CCTV-16,http://123.118.56.249:8686/rtp/239.3.1.184:8001
CCTV-16,http://114.254.95.53:8888/rtp/239.3.1.184:8001
CCTV-16,http://220.176.218.165:9000/udp/239.252.220.237:5140
CCTV-16,http://119.91.7.169:2026/dszb/IPTV.php?id=CCTV14
CCTV-16,http://124.114.101.175:6789/rtp/239.111.205.134:5140
CCTV-16,http://106.59.2.140:55555/rtp/239.200.200.193:8776
CCTV-16,http://171.119.205.232:6000/rtp/226.0.2.169:9264
CCTV-16,http://111.196.131.68:20000/rtp/239.3.1.184:8001
CCTV-17,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv17hd
CCTV-17,http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009
CCTV-17,http://154.37.212.176/ysp.php?pid=600001810&id=2027249401
CCTV-17,http://115.171.216.23:4000/rtp/225.1.8.17:8144
CCTV-17,http://39.77.162.237:4002/rtp/239.253.254.168:8000
CCTV-17,http://114.254.95.53:8888/rtp/239.3.1.151:8144
CCTV-17,http://123.118.56.249:8686/rtp/239.3.1.151:8144
CCTV-17,http://39.77.26.138:4002/rtp/239.253.254.168:8000
CCTV-17,http://171.119.205.232:6000/rtp/226.0.2.170:9272
CCTV-17,http://115.171.80.124:1688/rtp/225.1.8.17:8144
CCTV-4K,http://220.176.218.165:9000/rtp/239.252.219.60:5140
CCTV-4K,http://106.116.240.15:9999/rtp/239.254.201.67:6000
CCTV-4K,http://124.112.240.249:4022/rtp/238.1.78.137:6968
CCTV-4K,http://106.59.2.140:55555/rtp/239.200.200.202:8784
CHC动作电影,http://220.176.218.165:9000/udp/239.252.219.85:5140
CHC动作电影,http://171.119.205.232:6000/rtp/226.0.2.94:8012
CHC动作电影,http://39.77.157.57:4002/rtp/239.253.254.153:8000
CHC动作电影,http://39.77.26.138:4002/rtp/239.253.254.153:8000
CHC动作电影,http://39.77.162.237:4002/rtp/239.253.254.153:8000
CHC家庭影院,http://220.176.218.165:9000/udp/239.252.219.84:5140
CHC家庭影院,http://171.119.205.232:6000/rtp/226.0.2.240:9820
CHC家庭影院,http://39.77.26.138:4002/rtp/239.253.254.152:8000
CHC家庭影院,http://39.77.162.237:4002/rtp/239.253.254.152:8000
CHC家庭影院,http://39.77.157.57:4002/rtp/239.253.254.152:8000
CHC家庭影院,http://106.59.2.140:55555/rtp/239.200.201.30:8140
CHC影迷电影,http://220.176.218.165:9000/udp/239.252.219.83:5140
CHC影迷电影,http://39.77.157.57:4002/rtp/239.253.254.154:8000
CHC影迷电影,http://39.77.162.237:4002/rtp/239.253.254.154:8000
CHC影迷电影,http://39.77.26.138:4002/rtp/239.253.254.154:8000
CHC影迷电影,http://171.119.205.232:6000/rtp/226.0.2.93:8004

📡卫视频道,#genre#
广东卫视,https://iptv.catvod.com/live.php?id=%E5%B9%BF%E4%B8%9C%E5%8D%AB%E8%A7%86&line=4
广东卫视,http://154.37.212.176/ysp.php?pid=600002485&id=2024060903
广东卫视,http://116.9.34.24:4000/udp/239.81.0.104:4056
广东卫视,http://106.87.49.200:8888/rtp/235.254.196.204:1088
广东卫视,http://114.254.95.53:8888/rtp/239.3.1.142:8048
广东卫视,http://220.176.218.165:9000/udp/239.252.219.213:5140
广东卫视,http://124.114.101.175:6789/rtp/239.112.205.66:5140
广东卫视,http://39.77.157.57:4002/rtp/239.253.254.90:8000
广东卫视,http://39.77.162.237:4002/rtp/239.253.254.90:8000
广东卫视,http://39.77.26.138:4002/rtp/239.253.254.90:8000
浙江卫视,https://iptv.catvod.com/live.php?id=%E6%B5%99%E6%B1%9F%E5%8D%AB%E8%A7%86&line=9
浙江卫视,http://154.37.212.176/ysp.php?pid=600002520&id=2024054703
浙江卫视,http://114.254.95.53:8888/rtp/239.3.1.137:8036
浙江卫视,http://123.118.56.249:8686/rtp/239.3.1.137:8036
浙江卫视,http://114.226.212.171:8787/rtp/239.49.8.139:6000
浙江卫视,http://114.226.212.171:8787/rtp/239.49.8.20:9618
浙江卫视,http://106.116.126.206:4022/rtp/239.254.200.53:8036
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
浙江卫视,http://39.77.26.138:4002/rtp/239.253.254.84:8000
浙江卫视,http://115.171.216.23:4000/udp/225.1.8.46:8036
湖南卫视,https://iptv.catvod.com/live.php?id=%E6%B9%96%E5%8D%97%E5%8D%AB%E8%A7%86&line=3
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8
湖南卫视,http://154.37.212.176/ysp.php?pid=600002475&id=2024054803
湖南卫视,http://114.226.212.171:8787/rtp/239.49.8.142:6000
湖南卫视,http://114.254.95.53:8888/rtp/239.3.1.132:8012
湖南卫视,http://123.118.56.249:8686/rtp/239.3.1.132:8012
湖南卫视,http://106.116.126.206:4022/rtp/239.254.200.48:8012
湖南卫视,http://115.171.80.124:1688/udp/225.1.8.41:8012
湖南卫视,http://220.176.218.165:9000/udp/239.252.219.201:5140
湖南卫视,http://124.114.101.175:6789/rtp/239.112.205.62:5140
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://154.37.212.176/ysp.php?pid=600002309&id=2024052703
北京卫视,http://106.87.49.200:8888/rtp/235.254.198.66:1540
